id;word_id;orthographe_tifinagh;orthographe_latin
1;84266;salmon;Internal eyeballs
2;66683;Clothing;Gardens
3;42313;Creek National Fish;Human
4;56325;Cambridgeshire Bacon Money;virtual Account
5;71678;state Steel Automotive;Generic
6;15755;Buckinghamshire Grass-roots Belgium;Taiwan
7;30339;Beauty Soap e-markets;intelligence XML array
8;75227;deposit optimize;ability directional Dynamic
9;23405;Sharable Markets;Metal Chicken Spur
10;57565;Buckinghamshire Group;Product Fully-configurable multi-byte
